[2025-11-04 04:57:22] [auth] User: 2 (stapi) | IP: 213.24.135.160 | Message: Successful login | Context: {"username":"stapi"}
[2025-11-04 04:57:29] [auth] User: 2 (stapi) | IP: 213.24.135.160 | Message: Successful login | Context: {"username":"stapi"}
[2025-11-04 19:34:13] [auth] User: 2 (stapi) | IP: 213.24.135.160 | Message: Successful login | Context: {"username":"stapi"}
[2025-11-04 20:05:12] [payment] User: 2 (stapi) | IP: 213.24.135.160 | Message: Payment created | Context: {"payment_id":"4","user_id":"2","amount":"100","payment_system":"yookassa"}
[2025-11-04 20:05:54] [payment] User: 2 (stapi) | IP: 213.24.135.160 | Message: Payment created | Context: {"payment_id":"5","user_id":"2","amount":"100","payment_system":"stripe"}
[2025-11-04 20:09:06] [payment] User: 2 (stapi) | IP: 213.24.135.160 | Message: Payment created | Context: {"payment_id":"6","user_id":"2","amount":"100","payment_system":"yookassa"}
[2025-11-04 20:09:37] [admin] User: 2 (stapi) | IP: 213.24.135.160 | Message: User deleted | Context: {"user_id":"3","username":"SteamUser_702805"}
[2025-11-04 20:15:52] [auth] User: 2 (stapi) | IP: 213.24.135.160 | Message: Successful login | Context: {"username":"stapi"}
[2025-11-04 20:19:50] [auth] User: 2 (stapi) | IP: 213.24.135.160 | Message: Successful login | Context: {"username":"stapi"}
[2025-11-04 20:29:09] [auth] User: 2 (stapi) | IP: 213.24.135.160 | Message: Successful login | Context: {"username":"stapi"}
